group_id,set_name,set_code,published_on,total_products,sealed_products,singles_products,avg_sealed_market_price,max_sealed_market_price,total_sealed_market_value
17699,Starter Deck 6: Absolute Justice,ST-06,2023-03-10T00:00:00,20,3,17,21.69,21.69,21.69
17687,Starter Deck 5: Film Edition,ST-05,2023-02-03T00:00:00,20,3,17,21.54,21.54,21.54
3191,Starter Deck 2: Worst Generation,ST-02,2022-12-02T00:00:00,19,2,17,21.16,21.16,21.16
24242,A Fist of Divine Speed Release Event Cards,OP11 RE,2025-05-30T00:00:00,76,1,75,2.36,2.36,2.36
24406,Legacy of the Master Release Event Cards,OP12 RE,2025-08-15T00:00:00,76,2,74,1.04,1.61,2.07
23297,Kingdoms of Intrigue Pre-Release Cards,OP04 PRE,2023-09-15T00:00:00,76,1,75,1.22,1.22,1.22
24068,Royal Blood Release Event Cards,OP10 RE,2025-03-14T00:00:00,76,1,75,0.32,0.32,0.32
22934,Paramount War Pre-Release Cards,OP02 PRE,2023-03-03T00:00:00,76,0,76,,,
23232,Pillars of Strength Pre-Release Cards,OP03 PRE,2023-06-30T00:00:00,78,0,78,,,
23368,Awakening of the New Era: 1st Anniversary Tournament Cards,OP05 ANN,2023-12-08T00:00:00,76,0,76,,,
23424,Wings of the Captain Pre-Release Cards,OP06 PRE,2024-03-08T00:00:00,76,0,76,,,
23512,500 Years in the Future Pre-Release Cards,OP07 PRE,2024-06-21T00:00:00,76,0,76,,,
23590,Emperors in the New World: 2nd Anniversary Tournament Cards,OP09 ANN,2024-12-06T00:00:00,76,0,76,,,
23737,Two Legends Pre-Release Cards,OP08 PRE,2024-09-06T00:00:00,76,0,76,,,
23890,Revision Pack Cards,OP-RP,2024-11-26T00:00:00,33,0,41,,,
23907,One Piece Demo Deck Cards,OP-DD,2024-12-05T00:00:00,24,0,24,,,
24498,Carrying On His Will: 3rd Anniversary Tournament Cards,OP13 ANN,2025-10-31T00:00:00,81,0,81,,,
24579,The Azure Sea's Seven Release Event Cards,OP14 RE,2026-01-09T00:00:00,90,0,90,,,
24638,Adventure on Kami's Island Release Event Cards,OP15 RE,2026-03-27T00:00:00,91,0,91,,,
