product_id,product_name,set_code,snapshot_date,printing,market_price,low_price
531575,Awakening of the New Era - Sleeved Booster Pack,OP05,2026-05-04,Normal,67.32,69.99
531774,Romance Dawn - Sleeved Booster Pack,OP01,2026-05-04,Normal,177.97,166.01
531775,Paramount War - Sleeved Booster Pack,OP02,2026-05-04,Normal,35.35,25.98
531776,Pillars of Strength - Sleeved Booster Pack,OP03,2026-05-04,Normal,44.2,36.94
531777,Kingdoms of Intrigue - Sleeved Booster Pack,OP04,2026-05-04,Normal,48.1,47.34
532104,500 Years in the Future - Booster Pack,OP07,2026-05-04,Normal,7.25,6.5
532105,500 Years in the Future - Sleeved Booster Pack,OP07,2026-05-04,Normal,31.86,24.0
532106,500 Years in the Future - Booster Box,OP07,2026-05-04,Normal,294.3,292.99
532107,500 Years in the Future - Booster Box Case,OP07,2026-05-04,Normal,3290.32,3425.0
532108,New Genesis (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,2.72,2.4
532109,I'm invincible (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,0.52,0.25
532110,Backlight (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,1.05,0.5
532111,Fleeting Lullaby (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,0.42,0.25
532112,The World's Continuation (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,0.43,0.18
532113,Tot Musica (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,0.43,0.15
532114,Where the Wind Blows (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,0.44,0.18
532115,Monkey.D.Luffy (Starter Deck 11: Uta Deck Battle),OP-PR,2026-05-04,Normal,2.45,1.49
532116,Monkey.D.Luffy (Starter Deck 11: Uta Deck Battle) [Winner],OP-PR,2026-05-04,Foil,80.24,50.0
536154,One Piece Card Game: Japanese 1st Anniversary Set (Sealed Promotional Bundle),OP-CS,2026-05-04,Normal,185.48,182.97
536585,Starter Deck 12: Zoro and Sanji,ST-12,2026-05-04,Normal,32.46,60.0
536586,Starter Deck 12: Zoro and Sanji Display,ST-12,2026-05-04,Normal,175.0,225.0
536588,One Piece Card Game: English Version 1st Anniversary Set (Sealed Promotional Bundle),OP-CS,2026-05-04,Normal,1860.56,3899.99
541542,Double Pack Set Volume 3,OP06,2026-05-04,Normal,59.48,64.99
541543,Double Pack Set Volume 3 Display,OP06,2026-05-04,Normal,259.03,449.9
542502,Two Legends - Booster Pack,OP08,2026-05-04,Normal,6.46,6.0
542503,Two Legends - Sleeved Booster Pack,OP08,2026-05-04,Normal,16.49,14.0
542504,Two Legends - Booster Box,OP08,2026-05-04,Normal,222.33,221.8
542505,Two Legends - Booster Box Case,OP08,2026-05-04,Normal,2246.63,2900.0
542683,DON!! Card (Mihawk & Zoro) (Double Pack Set Vol. 3),OP06,2026-05-04,Foil,4.68,3.93
542684,DON!! Card (Ivankov & Sanji) (Double Pack Set Vol. 3),OP06,2026-05-04,Foil,1.96,1.5
543371,Wings of the Captain - Sleeved Booster Pack,OP06,2026-05-04,Normal,21.2,20.89
543595,Ultra Deck: The Three Brothers,ST-13,2026-05-04,Normal,81.13,79.0
543596,Ultra Deck: The Three Brothers Display,ST-13,2026-05-04,Normal,279.5,440.01
544591,Gastino,EB-01,2026-05-04,Normal,0.08,0.01
545026,Starter Deck 14: 3D2Y,ST-14,2026-05-04,Normal,20.3,18.0
545028,Starter Deck 14: 3D2Y Display,ST-14,2026-05-04,Normal,112.5,130.0
545033,Starter Deck 15: RED Edward.Newgate,ST-15,2026-05-04,Normal,56.06,61.8
545034,Starter Deck 15: RED Edward.Newgate Display,ST-15,2026-05-04,Normal,209.99,420.0
545036,Starter Deck 16: GREEN Uta,ST-16,2026-05-04,Normal,50.5,50.0
545037,Starter Deck 16: GREEN Uta Display,ST-16,2026-05-04,Normal,221.99,400.0
545039,Starter Deck 17: BLUE Donquixote Doflamingo,ST-17,2026-05-04,Normal,80.79,73.49
545042,Starter Deck 18: PURPLE Monkey.D.Luffy,ST-18,2026-05-04,Normal,129.78,132.0
545045,Starter Deck 19: BLACK Smoker,ST-19,2026-05-04,Normal,51.49,44.5
545048,Starter Deck 20: YELLOW Charlotte Katakuri,ST-20,2026-05-04,Normal,45.62,45.85
545398,Premium Booster - Booster Pack,PRB-01,2026-05-04,Normal,27.6,25.0
545399,Premium Booster - Booster Box,PRB-01,2026-05-04,Normal,840.68,859.99
545400,Premium Booster - Booster Box Case,PRB-01,2026-05-04,Normal,7230.3,9500.0
547692,Gift Collection 2023 Promotion Pack,OP-PR,2026-05-04,Normal,108.44,195.0
549493,Double Pack Set Volume 4,OP07,2026-05-04,Normal,48.03,43.97
549495,Double Pack Set Volume 4 Display,OP07,2026-05-04,Normal,192.32,360.0
557078,DON!! Card (Boa Hancock) (Double Pack Set Vol. 4),OP07,2026-05-04,Foil,8.6,7.96
557080,"DON!! Card (Trafalgar Law, Eustass Kid and Monkey.D.Luffy) (Double Pack Set Vol. 4)",OP07,2026-05-04,Foil,4.85,3.5
557280,Romance Dawn - Booster Box (Wave 2 - White),OP01,2026-05-04,Normal,1827.54,1649.99
561689,Double Pack Set Volume 5,OP08,2026-05-04,Normal,32.31,39.97
561690,Double Pack Set Volume 5 Display,OP08,2026-05-04,Normal,189.08,240.0
563833,Emperors in the New World - Booster Pack,OP09,2026-05-04,Normal,15.19,14.0
563834,Emperors in the New World - Booster Box,OP09,2026-05-04,Normal,587.8,578.88
563835,Emperors in the New World - Booster Box Case,OP09,2026-05-04,Normal,6184.06,6969.69
563842,Double Pack Set Volume 6,OP09,2026-05-04,Normal,75.31,70.66
